id,customer,amount,currency,status,created
pi_3Twj8dKBkUL9vnMV0vgY1toz,cus_Uu0jKN86a5Br32,850.0,usd,requires_payment_method,24.07.2026 16:27:43
pi_3Twj0PKBkUL9vnMV0JNBfmMy,cus_Uu0jKN86a5Br32,100.0,usd,requires_payment_method,24.07.2026 16:19:13
pi_3TwhNBKBkUL9vnMV0ei0NEvX,cus_Uu0jKN86a5Br32,1500.0,usd,requires_payment_method,24.07.2026 14:34:37
pi_3TwhLdKBkUL9vnMV1RHk4bGY,cus_Uu0jKN86a5Br32,1100.0,usd,requires_payment_method,24.07.2026 14:33:01
pi_3TwhHwKBkUL9vnMV1f5bwRc8,cus_Uu0jKN86a5Br32,700.0,usd,requires_payment_method,24.07.2026 14:29:12
pi_3TwhHJKBkUL9vnMV0f1lwtHd,cus_Uu0jKN86a5Br32,100.0,usd,requires_payment_method,24.07.2026 14:28:33
pi_3TwdB6KBkUL9vnMV02rvL7ED,cus_Uu0jKN86a5Br32,450.0,usd,requires_payment_method,24.07.2026 10:05:52
pi_3Twd8qKBkUL9vnMV0cUU17NM,cus_Uu0jKN86a5Br32,365.0,usd,requires_payment_method,24.07.2026 10:03:32
pi_3TwciHKBkUL9vnMV0YGEkczP,cus_Uu0jKN86a5Br32,400.0,usd,requires_payment_method,24.07.2026 09:36:05
pi_3TwcglKBkUL9vnMV1H7dvx9c,cus_Uu0jKN86a5Br32,665.0,usd,requires_payment_method,24.07.2026 09:34:31
pi_3TwMUiKBkUL9vnMV0sDgWUR9,cus_Uu0jKN86a5Br32,755.0,usd,requires_payment_method,23.07.2026 16:17:00
pi_3TwLv0KBkUL9vnMV0Dce9VkW,cus_UsQUGVWxpArJWX,655.0,usd,requires_payment_method,23.07.2026 15:40:06
pi_3TwLuwKBkUL9vnMV0TVILnFL,cus_UsQUGVWxpArJWX,655.0,usd,requires_payment_method,23.07.2026 15:40:02
pi_3TwLusKBkUL9vnMV1tISCmkl,cus_UsQUGVWxpArJWX,655.0,usd,requires_payment_method,23.07.2026 15:39:58
pi_3TwLupKBkUL9vnMV1EI8MFtW,cus_UsQUGVWxpArJWX,655.0,usd,requires_payment_method,23.07.2026 15:39:55
pi_3TwLumKBkUL9vnMV1zWE2cVP,cus_UsQUGVWxpArJWX,655.0,usd,requires_payment_method,23.07.2026 15:39:52
pi_3TwLujKBkUL9vnMV0ZGPkaQd,cus_UsQUGVWxpArJWX,655.0,usd,requires_payment_method,23.07.2026 15:39:49
pi_3TwLufKBkUL9vnMV0KGc8OQS,cus_UsQUGVWxpArJWX,655.0,usd,requires_payment_method,23.07.2026 15:39:45
pi_3TwLucKBkUL9vnMV1YFd340U,cus_UsQUGVWxpArJWX,655.0,usd,requires_payment_method,23.07.2026 15:39:42
pi_3TwLuZKBkUL9vnMV0wrbgpht,cus_UsQUGVWxpArJWX,655.0,usd,requires_payment_method,23.07.2026 15:39:39
pi_3TwLuVKBkUL9vnMV1rAyPlnv,cus_UsQUGVWxpArJWX,655.0,usd,requires_payment_method,23.07.2026 15:39:35
pi_3TwLuSKBkUL9vnMV1UkCWtj7,cus_UsQUGVWxpArJWX,655.0,usd,requires_payment_method,23.07.2026 15:39:32
pi_3TwLuOKBkUL9vnMV1VtNaoGb,cus_UsQUGVWxpArJWX,655.0,usd,requires_payment_method,23.07.2026 15:39:28
pi_3TwLuLKBkUL9vnMV1JwaO7Zs,cus_UsQUGVWxpArJWX,655.0,usd,requires_payment_method,23.07.2026 15:39:25
pi_3TwLuIKBkUL9vnMV1ZpoSVtB,cus_UsQUGVWxpArJWX,655.0,usd,requires_payment_method,23.07.2026 15:39:22
pi_3TwKsuKBkUL9vnMV1K802oDL,cus_UqdJP2PTXb7fmq,791.0,usd,requires_payment_method,23.07.2026 14:33:52
pi_3TwKspKBkUL9vnMV0mZdyil7,cus_UqdJP2PTXb7fmq,428.0,usd,requires_payment_method,23.07.2026 14:33:47
pi_3TwKslKBkUL9vnMV1kPMX2W7,cus_UqdJP2PTXb7fmq,766.0,usd,requires_payment_method,23.07.2026 14:33:43
pi_3TwKsgKBkUL9vnMV1LAhWYYV,cus_UqdJP2PTXb7fmq,548.0,usd,requires_payment_method,23.07.2026 14:33:38
pi_3TwKsaKBkUL9vnMV0AGDczk4,cus_UqdJP2PTXb7fmq,589.0,usd,requires_payment_method,23.07.2026 14:33:32
pi_3TwKsVKBkUL9vnMV15Amf8oZ,cus_UqdJP2PTXb7fmq,916.0,usd,requires_payment_method,23.07.2026 14:33:27
