id,name,description,active,price,created
prod_UtWXIEbt7pSPls,Dell XPS 15,Intel Core Ultra 7 - 32 GB RAM,True,-,16.07.2026 10:13:42
prod_Usm1GTecIikLxu,iphone 17,iphone 17 uzay grisi,True,190.00 USD,14.07.2026 10:10:05
prod_UslzbG17G7fVcB,samsung s21,samsung s21 beyaz,True,175.00 USD,14.07.2026 10:07:26
prod_UsRfAPDd4JHGV8,Huawei MateBook D16,"Huawei MateBook D16 2024 i5-12450H 16 GB 512 GB SSD UHD Graphics 16"" WUXGA Notebook",True,-,13.07.2026 13:08:08
prod_UsRfQWVF0FBxjb,Casper Nirvana S100,"Casper Nirvana S100.1362-DF00X-G-F i7-13620H 32 GB 1 TB SSD UHD Graphics 16"" WUXGA Notebook",True,-,13.07.2026 13:08:07
prod_UsRfs3MNStJ7eF,Asus ZenBook 14,"Asus ZenBook 14 UX3402VA-KP659W i5-13500H 8 GB 512 GB SSD Iris Xe Graphics 14"" WQXGA Notebook",True,-,13.07.2026 13:08:06
prod_UsRfJn6tR96w5o,MacBook Air M4,"MacBook Air M4 16 GB 256 GB SSD 15.3"" MW1G3TU/A Gümüş ( OUTLET )",True,-,13.07.2026 13:08:05
prod_UsRfki209HyzTA,toshiba,toshiba 256gb ssd 4 gb ram,True,-,13.07.2026 13:08:04
prod_UsRfeLVSmjRjwR,Dell XPS 15,Intel Core Ultra 7 - 32 GB RAM,True,-,13.07.2026 13:08:03
prod_UsRfYqP6oilCg2,Dell XPS 15,Intel Core Ultra 7 - 32 GB RAM,True,-,13.07.2026 13:08:02
prod_UsRfIZPrK4MFoz,Dell XPS 15,Intel Core Ultra 7 - 32 GB RAM,True,-,13.07.2026 13:08:01
prod_UsRf40Uxb07qgA,Excalibur G770,Excalibur G770 Gaming Laptop,True,-,13.07.2026 13:08:00
prod_UsRfEP4FLrIMfX,Test Phone,A test phone,True,-,13.07.2026 13:07:59
prod_UsRfJJ0PM4MQVB,samsung a35,samsung a35,True,-,13.07.2026 13:07:58
prod_UsRfo4GzI16ba8,samsung a35,samsung a35,True,-,13.07.2026 13:07:58
prod_UsRfa0GMZXdF3D,Test Phone,A test phone,True,-,13.07.2026 13:07:57
prod_UrOPxSnDY3aNDS,Test Phone,A test phone,True,-,10.07.2026 17:42:09
prod_UrOPubABdowvBs,samsung a35,samsung a35,True,-,10.07.2026 17:42:08
prod_Ur1abQsWK1iLXx,samsung a35,samsung a35,True,850.00 USD,09.07.2026 18:07:18
prod_Ur16fPcOen60qC,Test Phone,A test phone,True,-,09.07.2026 17:36:48
prod_UoOK0Q77zw0vbj,Excalibur G770,Excalibur G770 Gaming Laptop,True,-,02.07.2026 17:24:50
prod_UoN66D4FLvS655,Dell XPS 15,Intel Core Ultra 7 - 32 GB RAM,True,-,02.07.2026 16:08:46
prod_UoN6iskW2uf8eM,Dell XPS 15,Intel Core Ultra 7 - 32 GB RAM,True,-,02.07.2026 16:08:43
prod_UoIQA71TslP9B2,Dell XPS 15,Intel Core Ultra 7 - 32 GB RAM,True,-,02.07.2026 11:18:28
prod_UnxuCJ9aOa4OXr,toshiba,toshiba 256gb ssd 4 gb ram ,True,-,01.07.2026 14:06:25
prod_UnXTr2DjxW2okJ,Lenovo IdeaPad Slim 3,"Lenovo IdeaPad Slim 3 15IRH10 83K1003MTR i5-13420H 16 GB 512 GB SSD UHD Graphics 15.3"" WUXGA Notebook",False,105.00 USD,30.06.2026 10:48:19
prod_UnXSp1Cc17RxeM,MacBook Air M4,"MacBook Air M4 16 GB 256 GB SSD 15.3"" MW1G3TU/A Gümüş ( OUTLET )",True,160.00 USD,30.06.2026 10:46:32
prod_UnXRhVz6A00PVR,Asus ZenBook 14,"Asus ZenBook 14 UX3402VA-KP659W i5-13500H 8 GB 512 GB SSD Iris Xe Graphics 14"" WQXGA Notebook",True,130.00 USD,30.06.2026 10:45:39
prod_UnXQiT3o6TQKje,Casper Nirvana S100,"Casper Nirvana S100.1362-DF00X-G-F i7-13620H 32 GB 1 TB SSD UHD Graphics 16"" WUXGA Notebook",True,150.00 USD,30.06.2026 10:45:09
prod_UnXPdh5kRvrEX4,Huawei MateBook D16,"Huawei MateBook D16 2024 i5-12450H 16 GB 512 GB SSD UHD Graphics 16"" WUXGA Notebook",True,100.00 USD,30.06.2026 10:44:06
