stripe_invoice_id,customer_stripe_id,amount,currency,status,olusturma_tarihi,amount_float,amount_cents,olusturma_tarihi_dt,olusturma_tarihi_formatted
in_1Twj8aKBkUL9vnMVq98nCseG,cus_Uu0jKN86a5Br32,850.0,usd,open,2026-07-24 13:27:40,850.0,85000,2026-07-24 13:27:40,2026-07-24 13:27:40
inv_imp_cdc512ef0b5a47,cus_Uu0jKN86a5Br32,333.33,usd,open,2026-07-24 16:20:27,333.33,33333,2026-07-24 16:20:27,2026-07-24 16:20:27
in_1Twj0NKBkUL9vnMVftqX2UXN,cus_Uu0jKN86a5Br32,100.0,usd,open,2026-07-24 13:19:11,100.0,10000,2026-07-24 13:19:11,2026-07-24 13:19:11
in_1TwhN9KBkUL9vnMVfNz5Yc8Z,cus_Uu0jKN86a5Br32,1500.0,usd,open,2026-07-24 11:34:35,1500.0,150000,2026-07-24 11:34:35,2026-07-24 11:34:35
in_1TwhLbKBkUL9vnMVLhr82b4K,cus_Uu0jKN86a5Br32,1100.0,usd,open,2026-07-24 11:32:59,1100.0,110000,2026-07-24 11:32:59,2026-07-24 11:32:59
in_1TwhHuKBkUL9vnMVdVcLeV4j,cus_Uu0jKN86a5Br32,700.0,usd,open,2026-07-24 11:29:10,700.0,70000,2026-07-24 11:29:10,2026-07-24 11:29:10
in_1TwhHHKBkUL9vnMVuhhzUHS8,cus_Uu0jKN86a5Br32,100.0,usd,open,2026-07-24 11:28:31,100.0,10000,2026-07-24 11:28:31,2026-07-24 11:28:31
inv_imp_679b2b26275446,cus_Uu0jKN86a5Br32,365.55,usd,open,2026-07-24 14:13:36,365.55,36555,2026-07-24 14:13:36,2026-07-24 14:13:36
inv_imp_104fd15222e244,cus_Uu0jKN86a5Br32,365.55,usd,open,2026-07-24 14:13:36,365.55,36555,2026-07-24 14:13:36,2026-07-24 14:13:36
inv_imp_5035403dbe0145,cus_Uu0jKN86a5Br32,365.55,usd,open,2026-07-24 14:13:36,365.55,36555,2026-07-24 14:13:36,2026-07-24 14:13:36
inv_imp_a28cbd6e479048,cus_Uu0jKN86a5Br32,365.55,usd,open,2026-07-24 14:13:36,365.55,36555,2026-07-24 14:13:36,2026-07-24 14:13:36
inv_imp_5c6b211a953744,cus_Uu0jKN86a5Br32,365.55,usd,open,2026-07-24 14:13:36,365.55,36555,2026-07-24 14:13:36,2026-07-24 14:13:36
inv_imp_3830c88f3be54b,cus_Uu0jKN86a5Br32,365.55,usd,open,2026-07-24 14:13:36,365.55,36555,2026-07-24 14:13:36,2026-07-24 14:13:36
inv_imp_c26546b9ad9746,cus_Uu0jKN86a5Br32,365.55,usd,open,2026-07-24 14:13:36,365.55,36555,2026-07-24 14:13:36,2026-07-24 14:13:36
inv_imp_9d5bee0245de42,cus_Uu0jKN86a5Br32,365.55,usd,open,2026-07-24 14:13:36,365.55,36555,2026-07-24 14:13:36,2026-07-24 14:13:36
inv_imp_7b3cb4fa22f148,cus_Uu0jKN86a5Br32,365.55,usd,open,2026-07-24 14:13:36,365.55,36555,2026-07-24 14:13:36,2026-07-24 14:13:36
inv_imp_db4f83f35ccc4a,cus_Uu0jKN86a5Br32,365.55,usd,open,2026-07-24 14:13:36,365.55,36555,2026-07-24 14:13:36,2026-07-24 14:13:36
inv_imp_f34fcdda1a2d47,cus_Uu0jKN86a5Br32,365.55,usd,open,2026-07-24 14:13:36,365.55,36555,2026-07-24 14:13:36,2026-07-24 14:13:36
inv_imp_8bb1453a371247,cus_Uu0jKN86a5Br32,365.55,usd,open,2026-07-24 14:13:36,365.55,36555,2026-07-24 14:13:36,2026-07-24 14:13:36
inv_imp_39b79219b8854c,cus_Uu0jKN86a5Br32,365.55,usd,open,2026-07-24 14:13:36,365.55,36555,2026-07-24 14:13:36,2026-07-24 14:13:36
inv_imp_6a427ec6248e4f,cus_Uu0jKN86a5Br32,365.55,usd,open,2026-07-24 14:13:36,365.55,36555,2026-07-24 14:13:36,2026-07-24 14:13:36
